Name	Species	O-type	H-type	Serotype	QC	Evidence	GeneScores	AlleleKeys	GeneIdentities(%)	GeneCoverages(%)	GeneContigNames	GeneRanges	GeneLengths	Database	Warnings
CUEN23-1_SAMEA111330849_ISOG.scaffolds.min200	-	O4	H5	O4:H5	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O4-1-wzx-origin;O4-2-wzy-origin;H5-2-fliC-origin;	100;100;100;	100;100;100;	CUEN23-1_SAMEA111330849_ISOG-scaffold_2;CUEN23-1_SAMEA111330849_ISOG-scaffold_2;CUEN23-1_SAMEA111330849_ISOG-scaffold_1;	349893-351131;352027-353214;468747-470057;	1239;1188;1311;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330850_ISOG.scaffolds.min200	-	O1	H7	O1:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O1-3-wzx;O1-6-wzy;H7-3-fliC-origin;	100;100;100;	100;100;100;	CUEN23-1_SAMEA111330850_ISOG-scaffold_3;CUEN23-1_SAMEA111330850_ISOG-scaffold_3;CUEN23-1_SAMEA111330850_ISOG-scaffold_2;	404275-405501;407769-408773;169510-171267;	1227;1005;1758;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330851_ISOG.scaffolds.min200	-	O9	H19	O9:H19	-	Based on 3 allele(s)	wzm:1;wzt:0.996;fliC:1;	O9-14-wzm;O9-6-wzt-origin;H19-2-fliC-origin;	100;99.614;100;	100;100;100;	CUEN23-1_SAMEA111330851_ISOG-scaffold_35;CUEN23-1_SAMEA111330851_ISOG-scaffold_35;CUEN23-1_SAMEA111330851_ISOG-scaffold_7;	29687-30472;28389-29684;198961-200802;	786;1296;1842;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330852_ISOG.scaffolds.min200	-	O1	H7	O1:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O1-1-wzx-origin;O1-6-wzy;H7-3-fliC-origin;	100;100;100;	100;100;100;	CUEN23-1_SAMEA111330852_ISOG-scaffold_3;CUEN23-1_SAMEA111330852_ISOG-scaffold_3;CUEN23-1_SAMEA111330852_ISOG-scaffold_1;	389978-391204;393472-394476;100072-101829;	1227;1005;1758;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330853_ISOG.scaffolds.min200	-	O77/O17/O44/O106/O73	H18	O77/O17/O44/O106/O73:H18	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O77-1-wzx-origin/O17-1-wzx-origin;O77-3-wzy-inhouse/O17-2-wzy-origin;H18-1-fliC-origin;	100;100;100;	100;100;100;	CUEN23-1_SAMEA111330853_ISOG-scaffold_6;CUEN23-1_SAMEA111330853_ISOG-scaffold_6;CUEN23-1_SAMEA111330853_ISOG-scaffold_6;	193182-194417;194459-195790;90538-92202;	1236;1332;1665;	v1.0 (11-03-2020)	High similarity O-antigen group 9:O17/O44/O73/O77/O106 as per A.Iguchi et.al (PMID: 25428893)
CUEN23-1_SAMEA111330854_ISOG.scaffolds.min200	-	O9	H25	O9:H25	-	Based on 3 allele(s)	wzm:1;wzt:1;fliC:1;	O9-16-wzm;O9-19-wzt;H25-2-fliC-origin;	100;100;100;	100;100;100;	CUEN23-1_SAMEA111330854_ISOG-scaffold_43;CUEN23-1_SAMEA111330854_ISOG-scaffold_43;CUEN23-1_SAMEA111330854_ISOG-scaffold_11;	507-1292;1295-2590;46908-48239;	786;1296;1332;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330855_ISOG.scaffolds.min200	-	O15	H1	O15:H1	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O15-4-wzx;O15-8-wzy;H1-11-fliC;	100;100;100;	100;100;100;	CUEN23-1_SAMEA111330855_ISOG-scaffold_38;CUEN23-1_SAMEA111330855_ISOG-scaffold_38;CUEN23-1_SAMEA111330855_ISOG-scaffold_7;	181-1425;2458-3636;93930-95717;	1245;1179;1788;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330856_ISOG.scaffolds.min200	-	O25	H4	O25:H4	-	Based on 3 allele(s)	wzx:0.96;wzy:0.957;fliC:1;	O25-1-wzx-origin;O25-2-wzy-origin;H4-2-fliC-origin;	96.032;95.673;100;	100;100;100;	CUEN23-1_SAMEA111330856_ISOG-scaffold_2;CUEN23-1_SAMEA111330856_ISOG-scaffold_2;CUEN23-1_SAMEA111330856_ISOG-scaffold_15;	33684-34943;30469-31531;97191-98240;	1260;1063;1050;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330857_ISOG.scaffolds.min200	-	O88	H10	O88:H10	-	Based on 3 allele(s)	wzx:1;wzy:0.999;fliC:1;	O88-1-wzx-origin;O88-2-wzy-origin;H10-22-fliC;	100;99.922;100;	100;100;100;	CUEN23-1_SAMEA111330857_ISOG-scaffold_27;CUEN23-1_SAMEA111330857_ISOG-scaffold_27;CUEN23-1_SAMEA111330857_ISOG-scaffold_11;	4902-6359;7288-8562;118262-119524;	1458;1275;1263;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330858_ISOG.scaffolds.min200	-	O1	H7	O1:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O1-1-wzx-origin;O1-6-wzy;H7-3-fliC-origin;	100;100;100;	100;100;100;	CUEN23-1_SAMEA111330858_ISOG-scaffold_29;CUEN23-1_SAMEA111330858_ISOG-scaffold_29;CUEN23-1_SAMEA111330858_ISOG-scaffold_1;	3802-5028;7296-8300;385817-387574;	1227;1005;1758;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330859_ISOG.scaffolds.min200	-	O6	H31	O6:H31	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O6-1-wzx-origin;O6-26-wzy;H31-2-fliC-origin;	100;100;100;	100;100;100;	CUEN23-1_SAMEA111330859_ISOG-scaffold_2;CUEN23-1_SAMEA111330859_ISOG-scaffold_2;CUEN23-1_SAMEA111330859_ISOG-scaffold_1;	392347-393603;393603-394946;151483-153150;	1257;1344;1668;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330860_ISOG.scaffolds.min200	-	O1	H7	O1:H7	-	Based on 3 allele(s)	wzx:0.999;wzy:1;fliC:1;	O1-1-wzx-origin;O1-6-wzy;H7-3-fliC-origin;	99.919;100;100;	100;100;100;	CUEN23-1_SAMEA111330860_ISOG-scaffold_35;CUEN23-1_SAMEA111330860_ISOG-scaffold_35;CUEN23-1_SAMEA111330860_ISOG-scaffold_17;	25465-26691;22193-23197;100078-101835;	1227;1005;1758;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330861_ISOG.scaffolds.min200	-	O15	H6	O15:H6	-	Based on 3 allele(s)	wzx:1;wzy:0.999;fliC:1;	O15-1-wzx-origin;O15-2-wzy-origin;H6-17-fliC;	100;99.915;100;	100;100;100;	CUEN23-1_SAMEA111330861_ISOG-scaffold_20;CUEN23-1_SAMEA111330861_ISOG-scaffold_20;CUEN23-1_SAMEA111330861_ISOG-scaffold_14;	33198-34442;30987-32165;91055-92707;	1245;1179;1653;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330862_ISOG.scaffolds.min200	-	O2/O50	H7	O2/O50:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O2-1-wzx-origin;O2-11-wzy;H7-3-fliC-origin;	100;100;100;	100;100;100;	CUEN23-1_SAMEA111330862_ISOG-scaffold_4;CUEN23-1_SAMEA111330862_ISOG-scaffold_4;CUEN23-1_SAMEA111330862_ISOG-scaffold_2;	387336-388598;390311-391273;383297-385054;	1263;963;1758;	v1.0 (11-03-2020)	High similarity O-antigen group 7:O2/O50 as per A.Iguchi et.al (PMID: 25428893)
CUEN23-1_SAMEA111330863_ISOG.scaffolds.min200	-	O15	H6	O15:H6	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:0.99;	O15-1-wzx-origin;O15-2-wzy-origin;H6-17-fliC;	100;100;99.279;	100;100;100;	CUEN23-1_SAMEA111330863_ISOG-scaffold_29;CUEN23-1_SAMEA111330863_ISOG-scaffold_29;CUEN23-1_SAMEA111330863_ISOG-scaffold_11;	171-1415;2448-3626;90441-92105;	1245;1179;1665;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330864_ISOG.scaffolds.min200	-	O9	H25	O9:H25	-	Based on 3 allele(s)	wzm:1;wzt:1;fliC:1;	O9-13-wzm;O9-23-wzt;H25-2-fliC-origin;	100;100;100;	100;100;100;	CUEN23-1_SAMEA111330864_ISOG-scaffold_44;CUEN23-1_SAMEA111330864_ISOG-scaffold_44;CUEN23-1_SAMEA111330864_ISOG-scaffold_8;	1263-2048;2051-3346;46898-48229;	786;1296;1332;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330865_ISOG.scaffolds.min200	-	O1	H7	O1:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O1-3-wzx;O1-6-wzy;H7-3-fliC-origin;	100;100;100;	100;100;100;	CUEN23-1_SAMEA111330865_ISOG-scaffold_2;CUEN23-1_SAMEA111330865_ISOG-scaffold_2;CUEN23-1_SAMEA111330865_ISOG-scaffold_3;	591862-593088;595356-596360;386774-388531;	1227;1005;1758;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330866_ISOG.scaffolds.min200	-	O25	H4	O25:H4	-	Based on 3 allele(s)	wzx:0.96;wzy:0.958;fliC:1;	O25-1-wzx-origin;O25-2-wzy-origin;H4-2-fliC-origin;	96.032;95.763;100;	100;100;100;	CUEN23-1_SAMEA111330866_ISOG-scaffold_8;CUEN23-1_SAMEA111330866_ISOG-scaffold_8;CUEN23-1_SAMEA111330866_ISOG-scaffold_24;	33681-34940;30467-31528;38281-39330;	1260;1062;1050;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330867_ISOG.scaffolds.min200	-	O25	H4	O25:H4	-	Based on 3 allele(s)	wzx:0.96;wzy:0.957;fliC:1;	O25-1-wzx-origin;O25-2-wzy-origin;H4-2-fliC-origin;	96.032;95.673;100;	100;100;100;	CUEN23-1_SAMEA111330867_ISOG-scaffold_1;CUEN23-1_SAMEA111330867_ISOG-scaffold_1;CUEN23-1_SAMEA111330867_ISOG-scaffold_14;	30344-31603;27129-28191;38281-39330;	1260;1063;1050;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330868_ISOG.scaffolds.min200	-	O25	H4	O25:H4	-	Based on 3 allele(s)	wzx:0.96;wzy:0.957;fliC:1;	O25-1-wzx-origin;O25-2-wzy-origin;H4-2-fliC-origin;	96.032;95.673;100;	100;100;100;	CUEN23-1_SAMEA111330868_ISOG-scaffold_19;CUEN23-1_SAMEA111330868_ISOG-scaffold_19;CUEN23-1_SAMEA111330868_ISOG-scaffold_17;	89737-90996;93149-94211;108493-109542;	1260;1063;1050;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330869_ISOG.scaffolds.min200	-	O25	H4	O25:H4	-	Based on 3 allele(s)	wzx:0.96;wzy:0.957;fliC:1;	O25-1-wzx-origin;O25-2-wzy-origin;H4-2-fliC-origin;	96.032;95.673;100;	100;100;100;	CUEN23-1_SAMEA111330869_ISOG-scaffold_18;CUEN23-1_SAMEA111330869_ISOG-scaffold_18;CUEN23-1_SAMEA111330869_ISOG-scaffold_17;	89737-90996;93149-94211;97190-98239;	1260;1063;1050;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330870_ISOG.scaffolds.min200	-	O22	H1	O22:H1	-	Based on 3 allele(s)	wzx:0.999;wzy:1;fliC:1;	O22-1-wzx-origin;O22-3-wzy-origin;H1-1-fliC-origin;	99.919;100;100;	100;100;100;	CUEN23-1_SAMEA111330870_ISOG-scaffold_4;CUEN23-1_SAMEA111330870_ISOG-scaffold_4;CUEN23-1_SAMEA111330870_ISOG-scaffold_2;	404291-405526;404291-405526;102154-103941;	1236;1236;1788;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330871_ISOG.scaffolds.min200	-	O77/O17/O44/O106	H18	O77/O17/O44/O106:H18	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O77-1-wzx-origin/O17-1-wzx-origin;O77-3-wzy-inhouse/O17-2-wzy-origin;H18-1-fliC-origin;	100;100;100;	100;100;100;	CUEN23-1_SAMEA111330871_ISOG-scaffold_8;CUEN23-1_SAMEA111330871_ISOG-scaffold_8;CUEN23-1_SAMEA111330871_ISOG-scaffold_9;	62277-63512;60904-62235;129146-130810;	1236;1332;1665;	v1.0 (11-03-2020)	High similarity O-antigen group 9:O17/O44/O73/O77/O106 as per A.Iguchi et.al (PMID: 25428893)
CUEN23-1_SAMEA111330872_ISOG.scaffolds.min200	-	O25	H4	O25:H4	-	Based on 3 allele(s)	wzx:0.96;wzy:0.957;fliC:1;	O25-1-wzx-origin;O25-2-wzy-origin;H4-2-fliC-origin;	96.032;95.673;100;	100;100;100;	CUEN23-1_SAMEA111330872_ISOG-scaffold_15;CUEN23-1_SAMEA111330872_ISOG-scaffold_15;CUEN23-1_SAMEA111330872_ISOG-scaffold_17;	71782-73041;75194-76256;38281-39330;	1260;1063;1050;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330873_ISOG.scaffolds.min200	-	O6	H1	O6:H1	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O6-1-wzx-origin;O6-7-wzy-origin;H1-1-fliC-origin;	100;100;100;	100;100;100;	CUEN23-1_SAMEA111330873_ISOG-scaffold_1;CUEN23-1_SAMEA111330873_ISOG-scaffold_1;CUEN23-1_SAMEA111330873_ISOG-scaffold_9;	36807-38063;35464-36807;83858-85645;	1257;1344;1788;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330874_ISOG.scaffolds.min200	-	O9	H10	O9:H10	-	Based on 3 allele(s)	wzm:1;wzt:1;fliC:1;	O9-14-wzm;O9-19-wzt;H10-17-fliC;	100;100;100;	100;100;100;	CUEN23-1_SAMEA111330874_ISOG-scaffold_34;CUEN23-1_SAMEA111330874_ISOG-scaffold_34;CUEN23-1_SAMEA111330874_ISOG-scaffold_43;	3581-4366;4369-5664;14384-15646;	786;1296;1263;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330875_ISOG.scaffolds.min200	-	O40	H47	O40:H47	-	Based on 3 allele(s)	wzx:1;wzy:1;flkA:1;	O40-6-wzx;O40-7-wzy;H47-2-flkA;	100;100;100;	100;100;100;	CUEN23-1_SAMEA111330875_ISOG-scaffold_22;CUEN23-1_SAMEA111330875_ISOG-scaffold_22;CUEN23-1_SAMEA111330875_ISOG-scaffold_9;	73504-74784;71102-72307;152823-153929;	1281;1206;1107;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330876_ISOG.scaffolds.min200	-	O15	H6	O15:H6	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O15-1-wzx-origin;O15-2-wzy-origin;H6-17-fliC;	100;100;99.638;	100;100;100;	CUEN23-1_SAMEA111330876_ISOG-scaffold_17;CUEN23-1_SAMEA111330876_ISOG-scaffold_17;CUEN23-1_SAMEA111330876_ISOG-scaffold_11;	32988-34232;30777-31955;90382-92040;	1245;1179;1659;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330877_ISOG.scaffolds.min200	-	O103	H2	O103:H2	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O103-1-wzx-origin;O103-25-wzy;H2-2-fliC-origin;	100;100;100;	100;100;100;	CUEN23-1_SAMEA111330877_ISOG-scaffold_2;CUEN23-1_SAMEA111330877_ISOG-scaffold_2;CUEN23-1_SAMEA111330877_ISOG-scaffold_1;	27944-29209;24913-26061;29923-31416;	1266;1149;1494;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330878_ISOG.scaffolds.min200	-	O75	H5	O75:H5	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O75-4-wzx;O75-11-wzy;H5-6-fliC;	100;100;100;	100;100;100;	CUEN23-1_SAMEA111330878_ISOG-scaffold_4;CUEN23-1_SAMEA111330878_ISOG-scaffold_4;CUEN23-1_SAMEA111330878_ISOG-scaffold_8;	301958-303490;295986-297059;94043-95352;	1533;1074;1310;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330879_ISOG.scaffolds.min200	-	O2	H6	O2:H6	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O2-6-wzx;O2-15-wzy;H6-4-fliC;	100;100;100;	100;100;100;	CUEN23-1_SAMEA111330879_ISOG-scaffold_1;CUEN23-1_SAMEA111330879_ISOG-scaffold_1;CUEN23-1_SAMEA111330879_ISOG-scaffold_2;	71931-73193;69257-70219;123511-125157;	1263;963;1647;	v1.0 (11-03-2020)	High similarity O-antigen group 7:O2/O50 as per A.Iguchi et.al (PMID: 25428893)
CUEN23-1_SAMEA111330880_ISOG.scaffolds.min200	-	O15	H6	O15:H6	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O15-1-wzx-origin;O15-2-wzy-origin;H6-17-fliC;	100;100;99.638;	100;100;100;	CUEN23-1_SAMEA111330880_ISOG-scaffold_16;CUEN23-1_SAMEA111330880_ISOG-scaffold_16;CUEN23-1_SAMEA111330880_ISOG-scaffold_10;	32988-34232;30777-31955;98410-100068;	1245;1179;1659;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330881_ISOG.scaffolds.min200	-	O6	H1	O6:H1	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O6-1-wzx-origin;O6-7-wzy-origin;H1-1-fliC-origin;	100;100;100;	100;100;100;	CUEN23-1_SAMEA111330881_ISOG-scaffold_1;CUEN23-1_SAMEA111330881_ISOG-scaffold_1;CUEN23-1_SAMEA111330881_ISOG-scaffold_7;	365351-366607;366607-367950;83853-85640;	1257;1344;1788;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330882_ISOG.scaffolds.min200	-	O77/O17/O44/O106/O73	H4	O77/O17/O44/O106/O73:H4	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O77-1-wzx-origin/O17-1-wzx-origin;O77-3-wzy-inhouse/O17-2-wzy-origin;H4-2-fliC-origin;	100;100;100;	100;100;100;	CUEN23-1_SAMEA111330882_ISOG-scaffold_44;CUEN23-1_SAMEA111330882_ISOG-scaffold_44;CUEN23-1_SAMEA111330882_ISOG-scaffold_1;	15951-17186;17228-18559;38929-39978;	1236;1332;1050;	v1.0 (11-03-2020)	High similarity O-antigen group 9:O17/O44/O73/O77/O106 as per A.Iguchi et.al (PMID: 25428893)
CUEN23-1_SAMEA111330883_ISOG.scaffolds.min200	-	O1	H6	O1:H6	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O1-1-wzx-origin;O1-7-wzy;H6-17-fliC;	100;100;99.637;	100;100;100;	CUEN23-1_SAMEA111330883_ISOG-scaffold_23;CUEN23-1_SAMEA111330883_ISOG-scaffold_23;CUEN23-1_SAMEA111330883_ISOG-scaffold_17;	29984-31210;33478-34482;105592-107238;	1227;1005;1653;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330884_ISOG.scaffolds.min200	-	O75	H5	O75:H5	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O75-6-wzx;O75-11-wzy;H5-6-fliC;	100;100;100;	100;100;100;	CUEN23-1_SAMEA111330884_ISOG-scaffold_1;CUEN23-1_SAMEA111330884_ISOG-scaffold_1;CUEN23-1_SAMEA111330884_ISOG-scaffold_1;	396755-398287;390783-391856;565342-566651;	1533;1074;1310;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330885_ISOG.scaffolds.min200	-	O15	H6	O15:H6	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O15-1-wzx-origin;O15-2-wzy-origin;H6-17-fliC;	100;100;99.638;	100;100;100;	CUEN23-1_SAMEA111330885_ISOG-scaffold_17;CUEN23-1_SAMEA111330885_ISOG-scaffold_17;CUEN23-1_SAMEA111330885_ISOG-scaffold_11;	32988-34232;30777-31955;90382-92040;	1245;1179;1659;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330886_ISOG.scaffolds.min200	-	O117/O107	H4	O117/O107:H4	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O117-1-wzx-origin;O117-3-wzy-origin;H4-2-fliC-origin;	100;100;100;	100;100;100;	CUEN23-1_SAMEA111330886_ISOG-scaffold_1;CUEN23-1_SAMEA111330886_ISOG-scaffold_1;CUEN23-1_SAMEA111330886_ISOG-scaffold_8;	404506-405723;405716-407038;112869-113918;	1218;1323;1050;	v1.0 (11-03-2020)	High similarity O-antigen group 8:O107/O117 as per A.Iguchi et.al (PMID: 25428893)
CUEN23-1_SAMEA111330887_ISOG.scaffolds.min200	-	O25	H4	O25:H4	-	Based on 3 allele(s)	wzx:0.96;wzy:0.957;fliC:1;	O25-1-wzx-origin;O25-2-wzy-origin;H4-2-fliC-origin;	96.032;95.673;100;	100;100;100;	CUEN23-1_SAMEA111330887_ISOG-scaffold_14;CUEN23-1_SAMEA111330887_ISOG-scaffold_14;CUEN23-1_SAMEA111330887_ISOG-scaffold_16;	71782-73041;75194-76256;38281-39330;	1260;1063;1050;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330888_ISOG.scaffolds.min200	-	O153	H9	O153:H9	-	Based on 3 allele(s)	wzx:0.999;wzy:1;fliC:1;	O153-3-wzx-origin;O153-4-wzy-origin;H9-5-fliC;	99.915;100;99.901;	100;100;100;	CUEN23-1_SAMEA111330888_ISOG-scaffold_24;CUEN23-1_SAMEA111330888_ISOG-scaffold_24;CUEN23-1_SAMEA111330888_ISOG-scaffold_1;	68875-70053;66740-67918;131837-133849;	1179;1179;2013;	v1.0 (11-03-2020)	High similarity O-antigen group 11:O153/O178 as per A.Iguchi et.al (PMID: 25428893)
