distance,genome,phylogroup
0.0148187,BAEC15-1_SAMEA2579975_MAG_00000004.fa,F
0.014871,BAEC15-1_SAMEA2579976_MAG_00000020.fa,F
0.0189299,BAEC15-1_SAMEA2579978_MAG_00000001.fa,E2
0.00375609,BAEC15-1_SAMEA2579985_MAG_00000012.fa,B2-2
0.00408721,BAEC15-1_SAMEA2579986_MAG_00000009.fa,B2-2
0.00238081,BAEC15-1_SAMEA2579987_MAG_00000003.fa,B2-2
0.0107405,BAEC15-1_SAMEA2579990_MAG_00000005.fa,B2-2
0.0112643,BAEC15-1_SAMEA2579991_MAG_00000003.fa,B2-2
0.0122141,BAEC15-1_SAMEA2579992_MAG_00000008.fa,B2-2
0.00458019,BAEC15-1_SAMEA2579996_MAG_00000027.fa,A
0.00537869,BAEC15-1_SAMEA2579998_MAG_00000007.fa,C
0.00534606,BAEC15-1_SAMEA2579999_MAG_00000001.fa,C
0.00770681,BAEC15-1_SAMEA2580006_MAG_00000016.fa,B2-2
0.00263042,BAEC15-1_SAMEA2580007_MAG_00000002.fa,B2-2
0.0115313,BAEC15-1_SAMEA2580009_MAG_00000014.fa,B2-1
0.0111321,BAEC15-1_SAMEA2580010_MAG_00000003.fa,B2-2
0.0109136,BAEC15-1_SAMEA2580011_MAG_00000002.fa,B2-2
0.00387578,BAEC15-1_SAMEA2580014_MAG_00000008.fa,D1
0.00405685,BAEC15-1_SAMEA2580015_MAG_00000001.fa,D1
0.0142009,BAEC15-1_SAMEA2580019_MAG_00000002.fa,F
0.0145592,BAEC15-1_SAMEA2580020_MAG_00000005.fa,F
0.0171844,BAEC15-1_SAMEA2580021_MAG_00000066.fa,F
0.00977265,BAEC15-1_SAMEA2580022_MAG_00000008.fa,B2-2
0.0143027,BAEC15-1_SAMEA2580023_MAG_00000010.fa,A
0.0109571,BAEC15-1_SAMEA2580024_MAG_00000002.fa,B2-2
0.00842259,BAEC15-1_SAMEA2580028_MAG_00000017.fa,B1
0.00869309,BAEC15-1_SAMEA2580029_MAG_00000011.fa,B1
0.0163307,BAEC15-1_SAMEA2580030_MAG_00000078.fa,B2-2
0.0189299,BAEC15-1_SAMEA2580032_MAG_00000030.fa,D2
0.0163866,BAEC15-1_SAMEA2580034_MAG_00000005.fa,F
0.0101041,BAEC15-1_SAMEA2580035_MAG_00000001.fa,A
0.00430121,BAEC15-1_SAMEA2580038_MAG_00000004.fa,D1
0.00305472,BAEC15-1_SAMEA2580039_MAG_00000002.fa,D1
0.015998,BAEC15-1_SAMEA2580042_MAG_00000003.fa,D3
0.00997914,BAEC15-1_SAMEA2580046_MAG_00000010.fa,B2-1
0.0102298,BAEC15-1_SAMEA2580047_MAG_00000002.fa,B2-1
0.00964976,BAEC15-1_SAMEA2580050_MAG_00000005.fa,B1
0.00904645,BAEC15-1_SAMEA2580051_MAG_00000006.fa,B1
0.00590877,BAEC15-1_SAMEA2580056_MAG_00000057.fa,A
0.0103562,BAEC15-1_SAMEA2580057_MAG_00000011.fa,B2-2
0.0115313,BAEC15-1_SAMEA2580058_MAG_00000008.fa,B2-2
0.0102718,BAEC15-1_SAMEA2580060_MAG_00000006.fa,B2-2
0.011984,BAEC15-1_SAMEA2580065_MAG_00000013.fa,B2-1
0.0119383,BAEC15-1_SAMEA2580067_MAG_00000005.fa,B2-2
0.0106116,BAEC15-1_SAMEA2580070_MAG_00000002.fa,B2-2
0.0146626,BAEC15-1_SAMEA2580071_MAG_00000004.fa,B2-2
0.0111321,BAEC15-1_SAMEA2580074_MAG_00000011.fa,B2-1
0.0115313,BAEC15-1_SAMEA2580075_MAG_00000001.fa,B2-1
0.0118927,BAEC15-1_SAMEA2580076_MAG_00000031.fa,B2-1
0.00964976,BAEC15-1_SAMEA2580083_MAG_00000006.fa,B2-1
0.0110882,BAEC15-1_SAMEA2580086_MAG_00000010.fa,B2-2
0.0112201,BAEC15-1_SAMEA2580087_MAG_00000003.fa,B2-1
0.0161084,BAEC15-1_SAMEA2580090_MAG_00000021.fa,D3
0.014871,BAEC15-1_SAMEA2580091_MAG_00000005.fa,D3
0.0112643,BAEC15-1_SAMEA2580094_MAG_00000012.fa,A
0.0112201,BAEC15-1_SAMEA2580095_MAG_00000003.fa,B2-2
0.0115313,BAEC15-1_SAMEA2580096_MAG_00000064.fa,B2-2
0.00892796,BAEC15-1_SAMEA2580097_MAG_00000004.fa,B1
0.0112201,BAEC15-1_SAMEA2580099_MAG_00000012.fa,B2-2
0.0108702,BAEC15-1_SAMEA2580100_MAG_00000002.fa,B2-2
0.00846101,BAEC15-1_SAMEA2580102_MAG_00000008.fa,B1
0.0081558,BAEC15-1_SAMEA2580104_MAG_00000005.fa,B1
0.0148187,BAEC15-1_SAMEA2580109_MAG_00000006.fa,F
0.00537869,BAEC15-1_SAMEA2580112_MAG_00000015.fa,D1
0.00877107,BAEC15-1_SAMEA2580114_MAG_00000004.fa,B1
0.010314,BAEC15-1_SAMEA2580116_MAG_00000006.fa,A
0.00877107,BAEC15-1_SAMEA2580119_MAG_00000017.fa,B1
0.00846101,BAEC15-1_SAMEA2580120_MAG_00000031.fa,B1
0.0101878,BAEC15-1_SAMEA2580122_MAG_00000009.fa,B2-2
0.00584167,BAEC15-1_SAMEA2580123_MAG_00000005.fa,A
0.0101459,BAEC15-1_SAMEA2580125_MAG_00000028.fa,B2-2
0.00652391,BAEC15-1_SAMEA2580126_MAG_00000001.fa,B1
0.00800497,BAEC15-1_SAMEA2580130_MAG_00000013.fa,B1
0.00789262,BAEC15-1_SAMEA2580131_MAG_00000002.fa,B1
0.00505504,BAEC15-1_SAMEA2580133_MAG_00000008.fa,C_original
0.0064892,BAEC15-1_SAMEA2580134_MAG_00000007.fa,F
0.00861543,BAEC15-1_SAMEA2580136_MAG_00000016.fa,B1
0.0114419,BAEC15-1_SAMEA2580137_MAG_00000015.fa,B2-2
0.0113086,BAEC15-1_SAMEA2580138_MAG_00000007.fa,B2-2
0.0112201,BAEC15-1_SAMEA2580139_MAG_00000007.fa,B2-2
0.0187432,BAEC15-1_SAMEA2580141_MAG_00000024.fa,B2-2
0.0115313,BAEC15-1_SAMEA2580146_MAG_00000011.fa,B2-1
0.015998,BAEC15-1_SAMEA2580147_MAG_00000001.fa,B2-1
0.0106974,BAEC15-1_SAMEA2580149_MAG_00000008.fa,B2-2
0.0120298,BAEC15-1_SAMEA2580150_MAG_00000012.fa,B2-2
0.0106974,BAEC15-1_SAMEA2580151_MAG_00000001.fa,B2-2
0.00680395,BAEC15-1_SAMEA2580152_MAG_00000052.fa,B1
0.0107836,BAEC15-1_SAMEA2580153_MAG_00000032.fa,B2-2
0.00470559,BAEC15-1_SAMEA2580156_MAG_00000021.fa,D1
0.0148187,BAEC15-1_SAMEA2580158_MAG_00000002.fa,F
0.0150285,BAEC15-1_SAMEA2580159_MAG_00000001.fa,F
0.0174761,BAEC15-1_SAMEA2580160_MAG_00000017.fa,F
0.0120298,BAEC15-1_SAMEA2580161_MAG_00000020.fa,B2-2
0.00381583,BAEC15-1_SAMEA2580165_MAG_00000002.fa,B1
0.00308338,BAEC15-1_SAMEA2580166_MAG_00000003.fa,D1
0.0107405,BAEC15-1_SAMEA2580168_MAG_00000010.fa,B2-2
0.00351914,BAEC15-1_SAMEA2580171_MAG_00000005.fa,D1
0.00417861,BAEC15-1_SAMEA2580172_MAG_00000020.fa,D1
0.0113974,BAEC15-1_SAMEA2580176_MAG_00000001.fa,B1
0.00369655,BAEC15-1_SAMEA2580178_MAG_00000013.fa,D1
0.00396608,BAEC15-1_SAMEA2580179_MAG_00000002.fa,D1
0.0111321,BAEC15-1_SAMEA2580180_MAG_00000011.fa,B2-2
0.0104835,BAEC15-1_SAMEA2580182_MAG_00000009.fa,B2-2
0.00387578,BAEC15-1_SAMEA2580186_MAG_00000011.fa,B2-2
0.0186813,BAEC15-1_SAMEA2580189_MAG_00000023.fa,B2-2
0.00340187,BAEC15-1_SAMEA2580191_MAG_00000016.fa,D1
0.0114419,BAEC15-1_SAMEA2580194_MAG_00000002.fa,B2-2
0.0118471,BAEC15-1_SAMEA2580196_MAG_00000025.fa,B2-2
0.0117564,BAEC15-1_SAMEA2580197_MAG_00000009.fa,A
0.010314,BAEC15-1_SAMEA2580198_MAG_00000007.fa,D2
0.00354859,BAEC15-1_SAMEA2580200_MAG_00000031.fa,B2-2
0.00877107,BAEC15-1_SAMEA2580202_MAG_00000010.fa,C_original
0.0116661,BAEC15-1_SAMEA2580206_MAG_00000018.fa,B2-2
0.00337267,BAEC15-1_SAMEA2580208_MAG_00000029.fa,B2-2
0.00454897,BAEC15-1_SAMEA2580209_MAG_00000014.fa,D1
0.00408721,BAEC15-1_SAMEA2580210_MAG_00000016.fa,A
0.00628226,BAEC15-1_SAMEA2580212_MAG_00000029.fa,A
0.0107405,BAEC15-1_SAMEA2580220_MAG_00000023.fa,B2-1
0.00796745,BAEC15-1_SAMEA2580221_MAG_00000004.fa,A
0.0117564,BAEC15-1_SAMEA2580228_MAG_00000041.fa,B2-1
0.00884936,BAEC15-1_SAMEA2580234_MAG_00000016.fa,B1
0.0113529,BAEC15-1_SAMEA2580236_MAG_00000017.fa,B2-1
0.0111761,BAEC15-1_SAMEA2580238_MAG_00000004.fa,A
0.00853806,BAEC15-1_SAMEA2580240_MAG_00000007.fa,A
0.00811798,BAEC15-1_SAMEA2580241_MAG_00000013.fa,B1
0.010314,BAEC15-1_SAMEA2580245_MAG_00000016.fa,A
0.0126347,BAEC15-1_SAMEA2580250_MAG_00000002.fa,B2-2
0.00531349,BAEC15-1_SAMEA2580254_MAG_00000009.fa,D1
0.00544411,BAEC15-1_SAMEA2580256_MAG_00000031.fa,D1
0.00985499,BAEC15-1_SAMEA2580258_MAG_00000008.fa,A
0.00985499,BAEC15-1_SAMEA2580259_MAG_00000005.fa,A
0.00557568,BAEC15-1_SAMEA2580262_MAG_00000015.fa,A
0.00547692,BAEC15-1_SAMEA2580263_MAG_00000009.fa,A
0.00348975,BAEC15-1_SAMEA2580265_MAG_00000016.fa,B1
0.00492718,BAEC15-1_SAMEA2580266_MAG_00000019.fa,A
0.0126819,BAEC15-1_SAMEA2580270_MAG_00000013.fa,B2-2
0.0115313,BAEC15-1_SAMEA2580271_MAG_00000007.fa,B2-2
0.00489536,BAEC15-1_SAMEA2580274_MAG_00000005.fa,A
0.00476862,BAEC15-1_SAMEA2580275_MAG_00000004.fa,A
0.00557568,BAEC15-1_SAMEA2580281_MAG_00000016.fa,A
0.00515153,BAEC15-1_SAMEA2580285_MAG_00000017.fa,B2-2
0.014871,BAEC15-1_SAMEA2580286_MAG_00000002.fa,F
0.00238081,BAEC15-1_SAMEA2580288_MAG_00000024.fa,B2-2
0.00251903,BAEC15-1_SAMEA2580289_MAG_00000002.fa,B2-2
0.0112201,BAEC15-1_SAMEA2580290_MAG_00000014.fa,B2-2
0.0143027,BAEC15-1_SAMEA2580291_MAG_00000006.fa,F
0.0139486,BAEC15-1_SAMEA2580292_MAG_00000022.fa,F
0.0184352,BAEC15-1_SAMEA2580294_MAG_00000021.fa,B1
0.00916565,BAEC15-1_SAMEA2580296_MAG_00000061.fa,B2-2
0.0149759,BAEC15-1_SAMEA2580298_MAG_00000003.fa,F
0.0149759,BAEC15-1_SAMEA2580300_MAG_00000028.fa,F
0.00448671,BAEC15-1_SAMEA2580301_MAG_00000015.fa,D1
0.00857671,BRIT16-1_SAMN02333918_MAG_00000037.fa,A
0.00800497,BRIT16-1_SAMN02333919_MAG_00000001.fa,A
0.0108702,BRIT16-1_SAMN02333920_MAG_00000045.fa,D1
0.0123533,BRIT16-1_SAMN02333922_MAG_00000002.fa,F
0.00981378,BRIT16-1_SAMN02333925_MAG_00000007.fa,B1
0.0146626,BRIT16-1_SAMN02333940_MAG_00000011.fa,A
0.0147145,BRIT16-1_SAMN02333943_MAG_00000037.fa,A
0.00570819,BRIT16-1_SAMN02333944_MAG_00000006.fa,B1
0.0123533,BRIT16-1_SAMN02333956_MAG_00000011.fa,B2-2
0.00741321,BRIT16-1_SAMN02333958_MAG_00000025.fa,B1
0.00912584,BRIT16-1_SAMN02333960_MAG_00000060.fa,C
0.0102718,BRIT16-1_SAMN02333965_MAG_00000038.fa,A
0.0124467,BRIT16-1_SAMN02333966_MAG_00000035.fa,B1
0.0184965,BRIT16-1_SAMN02333967_MAG_00000064.fa,G
0.00981378,BRIT16-1_SAMN02333970_MAG_00000094.fa,A
0.00892796,BRIT16-1_SAMN02333979_MAG_00000070.fa,B1
0.00904645,BRIT16-1_SAMN02333981_MAG_00000046.fa,A
0.00842259,BRIT16-1_SAMN02333982_MAG_00000051.fa,B1
0.00948708,BRIT16-1_SAMN02333994_MAG_00000025.fa,B1
0.00628226,BRIT16-1_SAMN02334001_MAG_00000044.fa,A
0.00511931,BRIT16-1_SAMN02334003_MAG_00000002.fa,A
0.00730426,BRIT16-1_SAMN02334004_MAG_00000003.fa,B1
0.00564181,BRIT16-1_SAMN02334005_MAG_00000038.fa,A
0.0106116,BRIT16-1_SAMN02334016_MAG_00000050.fa,A
0.00964976,BRIT16-1_SAMN02334021_MAG_00000077.fa,B2-2
0.00445566,BRIT16-1_SAMN02334027_MAG_00000030.fa,B1
0.00534606,BRIT16-1_SAMN02334031_MAG_00000003.fa,A
0.00884936,BRIT16-1_SAMN02334037_MAG_00000077.fa,B1
0.00508714,BRIT16-1_SAMN02334040_MAG_00000065.fa,A
0.00774383,BRIT16-1_SAMN02334042_MAG_00000032.fa,A
0.00811798,BRIT16-1_SAMN02334043_MAG_00000011.fa,A
0.00896738,BRIT16-1_SAMN02334051_MAG_00000018.fa,B1
0.0181313,BRIT16-1_SAMN02334053_MAG_00000018.fa,D3
0.00396608,BRIT16-1_SAMN02334054_MAG_00000033.fa,B1
0.0206126,BRIT16-1_SAMN02334067_MAG_00000040.fa,B2-2
0.00683925,BRIT16-1_SAMN02334076_MAG_00000022.fa,A
0.00778092,BRIT16-1_SAMN02334083_MAG_00000018.fa,A
0.00969064,BRIT16-1_SAMN02334084_MAG_00000008.fa,A
0.00635099,BRIT16-1_SAMN02334089_MAG_00000069.fa,B1
0.0147665,BRIT16-1_SAMN02334095_MAG_00000013.fa,G
0.0226378,BRIT16-1_SAMN02334096_MAG_00000027.fa,D2
0.00495906,BRIT16-1_SAMN02334111_MAG_00000001.fa,B1
0.00964976,BRIT16-1_SAMN02334115_MAG_00000052.fa,B1
0.00314086,BRIT16-1_SAMN02334124_MAG_00000056.fa,B2-2
0.00781808,BRIT16-1_SAMN02334134_MAG_00000033.fa,A
0.00390583,BRIT16-1_SAMN02334137_MAG_00000061.fa,B1
0.0156702,BRIT16-1_SAMN02334139_MAG_00000030.fa,D3
0.0137488,BRIT16-1_SAMN02334148_MAG_00000015.fa,B1
0.00997914,BRIT16-1_SAMN02334149_MAG_00000025.fa,A
0.00755945,BRIT16-1_SAMN02334153_MAG_00000030.fa,B1
0.0119383,BROO17-1_SAMN06444319_MAG_00000002.fa,B2-2
0.011621,BROO17-1_SAMN06444320_MAG_00000003.fa,B2-2
0.00399629,BROO17-1_SAMN06444321_MAG_00000005.fa,B1
0.00737682,BROO17-1_SAMN06444322_MAG_00000004.fa,B1
0.00402654,BROO17-1_SAMN06444323_MAG_00000004.fa,B1
0.00331442,BROO17-1_SAMN06444324_MAG_00000004.fa,B1
0.00454897,BROO17-1_SAMN06444325_MAG_00000002.fa,B1
0.0102718,BROO17-1_SAMN06444326_MAG_00000010.fa,B1
0.00399629,BROO17-1_SAMN06444327_MAG_00000006.fa,B1
